game_id,home_team,away_team,goalie_name,opening_line,goalieTeam
12048,ARI,SEA,Connor Ingram,27.5,ARI
12049,CGY,NSH,Juuse Saros,28.5,NSH
12049,CGY,NSH,Jacob Markstrom,25.5,CGY
12050,COL,NJ,Vitek Vanecek,28.5,NJ
12050,COL,NJ,Alexandar Georgiev,26.5,COL
12051,ANA,PIT,Tristan Jarry,24.5,PIT
12051,ANA,PIT,John Gibson,30.5,ANA
12052,SJ,PHI,Samuel Ersson,24.5,PHI
12052,SJ,PHI,Mackenzie Blackwood,28.5,SJ
12053,TOR,OTT,Joseph Woll,27.5,TOR
12054,WSH,FLA,Sergei Bobrovsky,26.5,FLA
12054,WSH,FLA,Darcy Kuemper,28.5,WSH
12055,VGK,LA,Adin Hill,27.5,VGK
12055,VGK,LA,Cam Talbot,25.5,LA
12056,BOS,NYI,Linus Ullmark,27.5,BOS
12056,BOS,NYI,Ilya Sorokin,29.5,NYI
12057,DET,MTL,James Reimer,26.5,DET
12057,DET,MTL,Cayden Primeau,28.5,MTL
12058,OTT,VAN,Casey DeSmith,28.5,VAN
12058,OTT,VAN,Anton Forsberg,26.5,OTT
12059,TB,CHI,Jonas Johansson,25.5,TB
12059,TB,CHI,Petr Mrazek,30.5,CHI
12060,NYR,MIN,Louis Domingue,27.5,NYR
12060,NYR,MIN,Marc-Andre Fleury,26.5,MIN
12061,CBJ,DAL,Jake Oettinger,27.5,DAL
12061,CBJ,DAL,Spencer Martin,27.5,CBJ
12062,WPG,NSH,Laurent Brossoit,25.5,WPG
12063,STL,ARI,Joel Hofer,27.5,STL
12063,STL,ARI,Karel Vejmelka,26.5,ARI
12064,COL,SEA,Philipp Grubauer,28.5,SEA
12064,COL,SEA,Ivan Prosvetov,25.5,COL
12065,SJ,EDM,Stuart Skinner,25.5,EDM
12065,SJ,EDM,Mackenzie Blackwood,30.5,SJ
12066,LA,PIT,Magnus Hellberg,27.5,PIT
12066,LA,PIT,Pheonix Copley,26.5,LA
12067,FLA,CAR,Antti Raanta,26.5,CAR
12067,FLA,CAR,Sergei Bobrovsky,28.5,FLA
12068,NJ,WSH,Charlie Lindgren,28.5,WSH
12068,NJ,WSH,Vitek Vanecek,25.5,NJ
12069,BUF,MIN,Filip Gustavsson,28.5,MIN
12069,BUF,MIN,Devon Levi,26.5,BUF
12070,TOR,CGY,Joseph Woll,28.5,TOR
12070,TOR,CGY,Dan Vladar,26.5,CGY
12071,VGK,SJ,Kaapo Kahkonen,29.5,SJ
12071,VGK,SJ,Adin Hill,24.5,VGK
12072,ANA,PHI,Samuel Ersson,24.5,PHI
12072,ANA,PHI,Lukas Dostal,29.5,ANA
12073,DET,CBJ,Spencer Martin,27.5,CBJ
12073,DET,CBJ,Ville Husso,27.5,DET
12074,WPG,DAL,Scott Wedgewood,28.5,DAL
12075,TB,CAR,Pyotr Kochetkov,25.5,CAR
12076,TOR,VAN,Ilya Samsonov,25.5,TOR
12076,TOR,VAN,Thatcher Demko,29.5,VAN
12077,OTT,CGY,Dustin Wolf,27.5,CGY
12077,OTT,CGY,Joonas Korpisalo,28.5,OTT
12078,MTL,BOS,Jeremy Swayman,27.5,BOS
12078,MTL,BOS,Sam Montembeault,28.5,MTL
12079,NYI,WSH,Semyon Varlamov,27.5,NYI
12079,NYI,WSH,Hunter Shepard,27.5,WSH
12080,PIT,BUF,Tristan Jarry,25.5,PIT
12080,PIT,BUF,Ukko-Pekka Luukkonen,29.5,BUF
12081,NSH,ARI,Connor Ingram,27.5,ARI
12081,NSH,ARI,Juuse Saros,26.5,NSH
12082,COL,STL,Alexandar Georgiev,24.5,COL
12082,COL,STL,Jordan Binnington,29.5,STL
12083,SEA,EDM,Philipp Grubauer,28.5,SEA
12083,SEA,EDM,Stuart Skinner,25.5,EDM
12084,LA,PHI,Cam Talbot,25.5,LA
12085,FLA,CHI,Arvid Soderblom,30.5,CHI
12085,FLA,CHI,Sergei Bobrovsky,23.5,FLA
12086,MIN,DAL,Marc-Andre Fleury,26.5,MIN
12086,MIN,DAL,Jake Oettinger,27.5,DAL
12087,MTL,VAN,Casey DeSmith,27.5,VAN
12087,MTL,VAN,Jake Allen,27.5,MTL
12088,NYR,CBJ,Elvis Merzlikins,26.5,CBJ
12088,NYR,CBJ,Jonathan Quick,26.5,NYR
