game_id,home_team,away_team,home_goaltender,away_goaltender
21489,STL,TOR,Joel Hofer,Ilya Samsonov
21490,MIN,VAN,Filip Gustavsson,Casey DeSmith
21491,SEA,DET,Joey Daccord,Alex Lyon
21492,CGY,WPG,Jacob Markstrom,Connor Hellebuyck
21493,SJ,VGK,Mackenzie Blackwood,Logan Thompson
21494,ARI,EDM,Matt Villalta,Stuart Skinner
21495,CAR,CHI,Spencer Martin,Petr Mrazek
21496,TB,OTT,Andrei Vasilevskiy,Anton Forsberg
21497,NYR,DAL,Igor Shesterkin,Scott Wedgewood
21498,PIT,NYI,Alex Nedeljkovic,Ilya Sorokin
21499,WSH,NJ,Charlie Lindgren,Nico Daws
21500,FLA,OTT,Sergei Bobrovsky,Joonas Korpisalo
21501,WPG,MIN,Laurent Brossoit,Marc-Andre Fleury
21502,COL,VAN,Alexandar Georgiev,Thatcher Demko
21503,VGK,NSH,Adin Hill,Kevin Lankinen
21504,LA,CBJ,Cam Talbot,Elvis Merzlikins
21505,MTL,BUF,Sam Montembeault,Ukko-Pekka Luukkonen
21506,CHI,PHI,Arvid Söderblom,Samuel Ersson
21507,EDM,BOS,Stuart Skinner,Jeremy Swayman
21508,ARI,TOR,Karel Vejmelka,Ilya Samsonov
21509,ANA,CBJ,John Gibson,Daniil Tarasov
21510,DET,COL,Alex Lyon,Justus Annunen
21511,CAR,FLA,Pyotr Kochetkov,Sergei Bobrovsky
21512,NJ,NYR,Nico Daws,Igor Shesterkin
21513,OTT,DAL,Anton Forsberg,Jake Oettinger
21514,PIT,MTL,Tristan Jarry,Cayden Primeau
21515,TB,WSH,Andrei Vasilevskiy,Charlie Lindgren
21516,STL,NYI,Jordan Binnington,Semyon Varlamov
21517,CGY,BOS,Jacob Markstrom,Linus Ullmark
21518,VGK,TOR,Adin Hill,Martin Jones
21519,SEA,VAN,Philipp Grubauer,Thatcher Demko
21520,LA,NSH,David Rittich,Juuse Saros
21521,CBJ,BUF,Daniil Tarasov,Ukko-Pekka Luukkonen
21522,CHI,WPG,Petr Mrazek,Connor Hellebuyck
21523,EDM,MIN,Calvin Pickard,Filip Gustavsson
21524,NJ,MTL,Nico Daws,Jake Allen
21525,NYI,TB,Ilya Sorokin,Andrei Vasilevskiy
21526,PHI,NYR,Samuel Ersson,Igor Shesterkin
21527,FLA,WSH,Anthony Stolarz,Charlie Lindgren
21528,DET,STL,Alex Lyon,Jordan Binnington
21529,CAR,DAL,Pyotr Kochetkov,Jake Oettinger
21530,OTT,VGK,Anton Forsberg,Logan Thompson
21531,COL,TOR,Alexandar Georgiev,Ilya Samsonov
21532,VAN,BOS,Thatcher Demko,Jeremy Swayman
21533,EDM,CGY,Stuart Skinner,Dan Vladar
21534,SJ,NSH,Kaapo Kahkonen,Juuse Saros
21535,SEA,MIN,Joey Daccord,Marc-Andre Fleury
21536,LA,ANA,David Rittich,John Gibson
21537,NJ,TB,Akira Schmid,Jonas Johansson
21538,PIT,PHI,Tristan Jarry,Cal Petersen
21539,BUF,CAR,Ukko-Pekka Luukkonen,Spencer Martin
21540,CHI,DET,Petr Mrazek,James Reimer
21541,WPG,ARI,Connor Hellebuyck,Connor Ingram
21542,CBJ,NYR,Elvis Merzlikins,Jonathan Quick
21543,ANA,NSH,Lukas Dostal,Kevin Lankinen
21544,WSH,OTT,Darcy Kuemper,Anton Forsberg
21545,DAL,NYI,Scott Wedgewood,Ilya Sorokin
21546,EDM,LA,Stuart Skinner,David Rittich
21547,SEA,BOS,Philipp Grubauer,Linus Ullmark
21548,DET,WSH,Alex Lyon,Charlie Lindgren
21549,MTL,ARI,Sam Montembeault,Connor Ingram
21550,PHI,TB,Samuel Ersson,Andrei Vasilevskiy
21551,TOR,VGK,Ilya Samsonov,Adin Hill
21552,FLA,BUF,Sergei Bobrovsky,Ukko-Pekka Luukkonen
21553,NSH,OTT,Juuse Saros,Joonas Korpisalo
21554,WPG,STL,Laurent Brossoit,Joel Hofer
