goalie_name,event_id,opening_line,team
Karel Vejmelka,12097,28.5,UTA
Jake Oettinger,12097,25.5,DAL
Connor Hellebuyck,12098,25.5,WPG
Akira Schmid,12098,28.5,VGK
Jonas Johansson,12099,27.5,TB
Jordan Binnington,12099,27.5,STL
Anthony Stolarz,12100,25.5,TOR
Mackenzie Blackwood,12100,31.5,NJ
Pyotr Kochetkov,12101,24.5,CAR
Carter Hart,12101,29.5,PHI
Joey Daccord,12102,29.5,SEA
Stuart Skinner,12102,24.5,EDM
Alexandar Georgiev,12103,24.5,COL
Lukas Dostal,12103,31.5,ANA
Thatcher Demko,12104,27.5,VAN
Ilya Sorokin,12104,28.5,NYI
James Reimer,12105,28.5,ANA
Joonas Korpisalo,12105,27.5,BOS
Vitek Vanecek,12106,28.5,SJ
Tristan Jarry,12106,26.5,PIT
Adin Hill,12107,26.5,VGK
Cayden Primeau,12107,27.5,MTL
Connor Ingram,12108,28.5,UTA
Elvis Merzlikins,12108,26.5,CBJ
Petr Mrazek,12109,29.5,CHI
Jonas Johansson,12109,25.5,TB
Jacob Markstrom,12110,25.5,NJ
Casey DeSmith,12110,28.5,DAL
Semyon Varlamov,12111,27.5,NYI
Joel Hofer,12112,26.5,STL
Kaapo Kahkonen,12112,28.5,COL
Cam Talbot,12113,26.5,DET
Sergei Bobrovsky,12113,27.5,FLA
Ilya Samsonov,12114,26.5,VGK
Alex Lyon,12114,28.5,DET
Eric Comrie,12115,29.5,WPG
Connor Hellebuyck,12115,25.5,WPG
John Gibson,12116,29.5,ANA
Anthony Stolarz,12116,25.5,TOR
Anton Forsberg,12117,26.5,OTT
Filip Gustavsson,12117,29.5,MIN
Logan Thompson,12118,27.5,WSH
Carter Hart,12118,26.5,PHI
Arvid Soderblom,12119,28.5,CHI
Stuart Skinner,12120,26.5,EDM
Antti Raanta,12121,25.5,FA
Tristan Jarry,12121,29.5,PIT
Igor Shesterkin,12122,26.5,NYR
Jake Allen,12123,29.5,NJ
Ilya Sorokin,12124,29.5,NYI
Laurent Brossoit,12125,24.5,CHI
Karel Vejmelka,12125,28.5,UTA
Elvis Merzlikins,12126,27.5,CBJ
Charlie Lindgren,12126,27.5,WSH
Jake Oettinger,12127,27.5,DAL
Alexandar Georgiev,12127,26.5,COL
Philipp Grubauer,12128,25.5,SEA
Thatcher Demko,12128,26.5,VAN
Jordan Binnington,12129,29.5,STL
Cam Talbot,12129,25.5,DET
Samuel Ersson,12131,26.5,PHI
Spencer Martin,12131,27.5,CAR
Alex Nedeljkovic,12132,27.5,PIT
Adin Hill,12132,28.5,VGK
Petr Mrazek,12133,28.5,CHI
Joel Hofer,12134,27.5,STL
Sergei Bobrovsky,12135,27.5,FLA
Calvin Pickard,12135,27.5,EDM
Scott Wedgewood,12137,26.5,NSH
Igor Shesterkin,12137,27.5,NYR
Alexandar Georgiev,12138,25.5,COL
Juuse Saros,12138,28.5,NSH
Connor Ingram,12139,29.5,UTA
Pheonix Copley,12139,23.5,LA
Dan Vladar,12140,24.5,CGY
Philipp Grubauer,12140,27.5,SEA
Mackenzie Blackwood,12141,29.5,NJ
Thatcher Demko,12141,24.5,VAN
Alex Lyon,12142,27.5,DET
Vitek Vanecek,12142,26.5,SJ
Linus Ullmark,12143,29.5,OTT
Sergei Bobrovsky,12143,25.5,FLA
Connor Hellebuyck,12144,26.5,WPG
Jonas Johansson,12144,27.5,TB
Stuart Skinner,12145,28.5,EDM
Antti Raanta,12145,26.5,FA
Tristan Jarry,12146,25.5,PIT
Jonathan Quick,12146,28.5,NYR
Darcy Kuemper,12147,26.5,LA
Devon Levi,12147,26.5,BUF
Petr Mrazek,12148,29.5,CHI
Elvis Merzlikins,12148,25.5,CBJ
Ilya Sorokin,12149,28.5,NYI
Carter Hart,12149,27.5,PHI
Jacob Markstrom,12150,25.5,NJ
Juuse Saros,12150,27.5,NSH
Karel Vejmelka,12151,27.5,UTA
Jordan Binnington,12151,26.5,STL
Jake Oettinger,12152,27.5,DAL
Alexandar Georgiev,12153,24.5,COL
John Gibson,12154,27.5,ANA
Sam Montembeault,12154,27.5,MTL
Joey Daccord,12155,23.5,SEA
Kaapo Kahkonen,12155,29.5,COL
Igor Shesterkin,12156,27.5,NYR
Carter Hart,12156,25.5,PHI
Jeremy Swayman,12157,26.5,BOS
Arvid Soderblom,12158,29.5,CHI
Ilya Samsonov,12158,24.5,VGK
Elvis Merzlikins,12159,28.5,CBJ
Stuart Skinner,12160,25.5,EDM
Charlie Lindgren,12160,28.5,WSH
Cam Talbot,12162,25.5,DET
John Gibson,12162,28.5,ANA
Mackenzie Blackwood,12163,28.5,NJ
Cayden Primeau,12163,26.5,MTL
Alex Nedeljkovic,12164,28.5,PIT
Ukko-Pekka Luukkonen,12164,27.5,BUF
Semyon Varlamov,12165,28.5,NYI
Anton Forsberg,12165,26.5,OTT
Connor Hellebuyck,12166,27.5,WPG
Sergei Bobrovsky,12166,25.5,FLA
Antti Raanta,12167,24.5,FA
Andrei Vasilevskiy,12167,29.5,TB
Alexandar Georgiev,12168,26.5,COL
Filip Gustavsson,12168,28.5,MIN
Jake Oettinger,12169,27.5,DAL
Jacob Markstrom,12169,27.5,NJ
Joey Daccord,12170,25.5,SEA
Thatcher Demko,12170,26.5,VAN
Linus Ullmark,12171,28.5,OTT
Jonathan Quick,12171,26.5,NYR
Jake Allen,12172,30.5,NJ
Joseph Woll,12173,28.5,TOR
Tristan Jarry,12173,27.5,PIT
Eric Comrie,12174,28.5,WPG
Vitek Vanecek,12174,25.5,SJ
Samuel Ersson,12175,26.5,PHI
Ilya Sorokin,12175,28.5,NYI
Kaapo Kahkonen,12177,29.5,COL
Casey DeSmith,12177,25.5,DAL
Logan Thompson,12178,25.5,WSH
Connor Ingram,12178,29.5,UTA
Alex Lyon,12179,26.5,DET
Filip Gustavsson,12179,27.5,MIN
Jordan Binnington,12180,26.5,STL
Arvid Soderblom,12180,27.5,CHI
Elvis Merzlikins,12181,30.5,CBJ
Pyotr Kochetkov,12181,24.5,CAR
Juuse Saros,12182,26.5,NSH
Laurent Brossoit,12182,26.5,CHI
Stuart Skinner,12183,24.5,EDM
Jeremy Swayman,12184,27.5,BOS
Spencer Martin,12184,27.5,CAR
Sergei Bobrovsky,12185,27.5,FLA
Igor Shesterkin,12186,25.5,NYR
Ukko-Pekka Luukkonen,12186,27.5,BUF
Andrei Vasilevskiy,12187,28.5,TB
Alexandar Georgiev,12187,25.5,COL
Jacob Markstrom,12188,26.5,NJ
Adin Hill,12188,28.5,VGK
Dan Vladar,12188,25.5,CGY
Darcy Kuemper,12189,25.5,LA
Mackenzie Blackwood,12189,27.5,NJ
Anthony Stolarz,12190,28.5,TOR
Joseph Woll,12190,28.5,TOR
Vitek Vanecek,12191,25.5,SJ
Pyotr Kochetkov,12192,25.5,CAR
Carter Hart,12192,27.5,PHI
Tristan Jarry,12193,27.5,PIT
Juuse Saros,12193,27.5,NSH
Jordan Binnington,12194,28.5,STL
Filip Gustavsson,12194,26.5,MIN
Connor Hellebuyck,12195,26.5,WPG
Jake Oettinger,12195,26.5,DAL
Philipp Grubauer,12196,24.5,SEA
Petr Mrazek,12196,27.5,CHI
Stuart Skinner,12197,25.5,EDM
Jonas Johansson,12198,25.5,TB
Connor Ingram,12198,28.5,UTA
Thatcher Demko,12199,25.5,VAN
Elvis Merzlikins,12200,27.5,CBJ
Sam Montembeault,12200,28.5,MTL
Ville Husso,12201,27.5,DET
Igor Shesterkin,12201,25.5,NYR
Charlie Lindgren,12202,28.5,WSH
Cam Talbot,12202,25.5,DET
Petr Mrazek,12203,28.5,CHI
Philipp Grubauer,12204,26.5,SEA
Joseph Woll,12204,26.5,TOR
Andrei Vasilevskiy,12205,29.5,TB
Tristan Jarry,12205,27.5,PIT
Mackenzie Blackwood,12206,30.5,NJ
Jeremy Swayman,12206,24.5,BOS
Akira Schmid,12207,27.5,VGK
Carter Hart,12207,26.5,PHI
Sergei Bobrovsky,12208,25.5,FLA
Cayden Primeau,12208,29.5,MTL
Semyon Varlamov,12209,29.5,NYI
Pyotr Kochetkov,12209,24.5,CAR
Stuart Skinner,12210,26.5,EDM
Connor Hellebuyck,12210,26.5,WPG
Juuse Saros,12211,26.5,NSH
Ukko-Pekka Luukkonen,12212,27.5,BUF
Jordan Binnington,12212,27.5,STL
Alexandar Georgiev,12213,24.5,COL
Connor Ingram,12213,28.5,UTA
Scott Wedgewood,12214,28.5,NSH
Jacob Markstrom,12214,26.5,NJ
Thatcher Demko,12215,26.5,VAN
John Gibson,12216,26.5,ANA
Darcy Kuemper,12216,25.5,LA
Vitek Vanecek,12217,23.5,SJ
Kaapo Kahkonen,12217,30.5,COL
Elvis Merzlikins,12218,28.5,CBJ
Joonas Korpisalo,12218,28.5,BOS
Jake Oettinger,12219,26.5,DAL
Arvid Soderblom,12220,28.5,CHI
Connor Hellebuyck,12220,24.5,WPG
Igor Shesterkin,12221,26.5,NYR
Kevin Lankinen,12221,25.5,VAN
Ilya Sorokin,12222,31.5,NYI
Anthony Stolarz,12222,26.5,TOR
Jake Allen,12223,28.5,NJ
Ville Husso,12223,26.5,DET
Linus Ullmark,12224,28.5,OTT
Joseph Woll,12224,27.5,TOR
Pyotr Kochetkov,12226,23.5,CAR
Eric Comrie,12226,30.5,WPG
Samuel Ersson,12227,26.5,PHI
Tristan Jarry,12227,27.5,PIT
Joel Hofer,12228,26.5,STL
Connor Ingram,12228,27.5,UTA
Darcy Kuemper,12229,26.5,LA
Logan Thompson,12229,25.5,WSH
Ivan Prosvetov,12230,26.5,FA
John Gibson,12230,27.5,ANA
Jacob Markstrom,12231,24.5,NJ
Marc-Andre Fleury,12232,24.5,MIN
Petr Mrazek,12232,28.5,CHI
Mackenzie Blackwood,12233,29.5,NJ
Jonathan Quick,12233,23.5,NYR
Juuse Saros,12234,27.5,NSH
Ukko-Pekka Luukkonen,12234,26.5,BUF
Spencer Martin,12235,28.5,CAR
Jeremy Swayman,12235,25.5,BOS
Cam Talbot,12236,26.5,DET
Alexandar Georgiev,12236,27.5,COL
