game_id,home_team,away_team,home_shots_on_goal,away_shots_on_goal,corsi_home,corsi_away,fenwick_home,fenwick_away,corsi_home_%,corsi_away_%,fenwick_home_%,fenwick_away_%
2023021020,VGK,DET,36,26,81,57,53,39,0.5869565217391305,0.41304347826086957,0.5760869565217391,0.42391304347826086
2023021021,LAK,DAL,25,35,53,68,45,49,0.4380165289256198,0.5619834710743802,0.4787234042553192,0.5212765957446809
2023021022,PIT,EDM,41,42,72,74,55,57,0.4931506849315068,0.5068493150684932,0.49107142857142855,0.5089285714285714
2023021023,MIN,NSH,33,30,55,65,42,45,0.4583333333333333,0.5416666666666666,0.4827586206896552,0.5172413793103449
2023021024,CAR,CGY,40,20,83,47,60,32,0.6384615384615384,0.36153846153846153,0.6521739130434783,0.34782608695652173
2023021025,CHI,ARI,41,36,76,59,60,46,0.562962962962963,0.43703703703703706,0.5660377358490566,0.4339622641509434
2023021026,ANA,NYI,23,19,48,50,33,32,0.4897959183673469,0.5102040816326531,0.5076923076923077,0.49230769230769234
2023021027,BOS,STL,37,22,63,41,52,32,0.6057692307692307,0.3942307692307692,0.6190476190476191,0.38095238095238093
2023021028,NYR,NJD,26,20,56,54,40,37,0.509090909090909,0.4909090909090909,0.5194805194805194,0.4805194805194805
2023021029,WPG,WSH,29,23,72,46,54,31,0.6101694915254238,0.3898305084745763,0.6352941176470588,0.36470588235294116
2023021030,LAK,NYI,25,26,55,53,40,37,0.5092592592592593,0.49074074074074076,0.5194805194805194,0.4805194805194805
2023021031,BUF,DET,39,24,68,48,50,39,0.5862068965517241,0.41379310344827586,0.5617977528089888,0.43820224719101125
2023021032,CAR,NYR,28,24,68,55,44,41,0.5528455284552846,0.44715447154471544,0.5176470588235295,0.4823529411764706
2023021033,MTL,CBJ,23,41,44,98,37,64,0.30985915492957744,0.6901408450704225,0.36633663366336633,0.6336633663366337
2023021034,OTT,PIT,39,35,67,63,51,48,0.5153846153846153,0.4846153846153846,0.5151515151515151,0.48484848484848486
2023021035,PHI,SJS,41,29,70,62,59,47,0.5303030303030303,0.4696969696969697,0.5566037735849056,0.44339622641509435
2023021036,DAL,FLA,30,30,56,49,43,39,0.5333333333333333,0.4666666666666667,0.524390243902439,0.47560975609756095
2023021037,MIN,ARI,31,23,71,46,55,34,0.6068376068376068,0.39316239316239315,0.6179775280898876,0.38202247191011235
2023021038,CHI,ANA,31,29,65,52,42,38,0.5555555555555556,0.4444444444444444,0.525,0.475
2023021039,CGY,COL,27,38,58,72,40,49,0.4461538461538462,0.5538461538461539,0.449438202247191,0.550561797752809
2023021040,SEA,VGK,30,34,68,75,43,49,0.4755244755244755,0.5244755244755245,0.4673913043478261,0.532608695652174
2023021041,STL,LAK,30,41,52,75,42,54,0.4094488188976378,0.5905511811023622,0.4375,0.5625
2023021042,WPG,NSH,29,38,50,61,40,49,0.45045045045045046,0.5495495495495496,0.449438202247191,0.550561797752809
2023021043,EDM,WSH,37,25,58,48,43,35,0.5471698113207547,0.4528301886792453,0.5512820512820513,0.44871794871794873
2023021044,VAN,COL,21,34,30,73,27,51,0.2912621359223301,0.7087378640776699,0.34615384615384615,0.6538461538461539
2023021045,BUF,NYI,37,21,56,42,46,32,0.5714285714285714,0.42857142857142855,0.5897435897435898,0.41025641025641024
2023021046,CAR,FLA,35,21,67,38,54,26,0.638095238095238,0.3619047619047619,0.675,0.325
2023021047,CBJ,OTT,40,40,87,85,63,57,0.5058139534883721,0.4941860465116279,0.525,0.475
2023021048,DET,ARI,29,27,56,63,37,43,0.47058823529411764,0.5294117647058824,0.4625,0.5375
2023021049,MTL,BOS,19,24,50,61,31,41,0.45045045045045046,0.5495495495495496,0.4305555555555556,0.5694444444444444
2023021050,PHI,TOR,28,27,56,61,43,41,0.47863247863247865,0.5213675213675214,0.5119047619047619,0.4880952380952381
2023021051,PIT,SJS,31,32,69,75,44,54,0.4791666666666667,0.5208333333333334,0.4489795918367347,0.5510204081632653
2023021052,TBL,NYR,28,28,58,61,35,42,0.48739495798319327,0.5126050420168067,0.45454545454545453,0.5454545454545454
2023021053,DAL,NJD,37,20,83,34,56,27,0.7094017094017094,0.2905982905982906,0.6746987951807228,0.3253012048192771
2023021054,MIN,ANA,31,16,55,44,38,28,0.5555555555555556,0.4444444444444444,0.5757575757575758,0.42424242424242425
2023021055,CGY,VGK,37,29,71,70,50,38,0.5035460992907801,0.49645390070921985,0.5681818181818182,0.4318181818181818
2023021056,SEA,WSH,24,23,49,53,32,38,0.4803921568627451,0.5196078431372549,0.45714285714285713,0.5428571428571428
